.....sss..............                                                   [100%]
19 passed, 3 skipped in 4.94s
lines   cov%   module   (path)
  295   100%   enum   (/root/.pyenv/versions/3.10.19/lib/python3.10/enum.py)
   60   100%   exceptiongroup._formatting   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/exceptiongroup/_formatting.py)
   22   100%   fastapi.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/__init__.py)
  138   100%   fastapi._compat   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/_compat.py)
 1288   100%   fastapi.applications   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/applications.py)
   14   100%   fastapi.background   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/background.py)
   12   100%   fastapi.concurrency   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/concurrency.py)
   64   100%   fastapi.datastructures   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/datastructures.py)
   30   100%   fastapi.dependencies.models   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/dependencies/models.py)
  124   100%   fastapi.dependencies.utils   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/dependencies/utils.py)
  102   100%   fastapi.encoders   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/encoders.py)
   15   100%   fastapi.exception_handlers   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/exception_handlers.py)
   50   100%   fastapi.exceptions   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/exceptions.py)
    2   100%   fastapi.logger   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/logger.py)
    3   100%   fastapi.openapi.constants   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/openapi/constants.py)
   81   100%   fastapi.openapi.docs   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/openapi/docs.py)
  292   100%   fastapi.openapi.models   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/fastapi/openapi/models.py)
